source_id,title,youtube_id,youtube_url,last_timestamp,transcript_words,transcript_sha256
85,Asking Yacht Owners How They Got RICH!,hRFCQAIa0gA,https://www.youtube.com/watch?v=hRFCQAIa0gA,"00:14:08,620",3702,635dc2e00a5cf377a06c38a246dc4b873434e8070892f9177103eec126f05331
87,Asking Holiday Shoppers How They Got RICH!,eSkosEaDnDw,https://www.youtube.com/watch?v=eSkosEaDnDw,"00:11:55,197",3057,316a64c0348604055587b597b942e9e79e21f2628a31b98683838555bfc80005
88,Asking Texas Millionaires How They Got RICH!,exeXKslPiDI,https://www.youtube.com/watch?v=exeXKslPiDI,"00:12:09,480",2915,6e13e5a8c5c9cc3d49b1ca212e8c996eb22ce25fa1effb98e269405c66962238
89,Asking Miami Millionaires How to Get RICH!,BaxpJArMn9Y,https://www.youtube.com/watch?v=BaxpJArMn9Y,"00:14:17,501",3443,d0111d1bda7fdc44362a38e08a5681ba1be688603e0bbd32f4f737bc237253e9
90,How He Built A $200 Million⧸Year Security Company,prPvzJwgHqg,https://www.youtube.com/watch?v=prPvzJwgHqg,"00:15:41,280",3898,5db733cc615822d1fe017eb6dca5cb5152e7b06a0fab4cf8c3d67453ec477427
91,Asking Millionaires How They Got RICH! (Scottsdale),nReWQdfRSC8,https://www.youtube.com/watch?v=nReWQdfRSC8,"00:12:22,760",3372,33340300687363a0ecca7d5a74996f890a9c20bb7c790113de284d0c3b8e1ad3
92,Asking Calabasas Millionaires How They Got RICH!,kJ7HiO27n1g,https://www.youtube.com/watch?v=kJ7HiO27n1g,"00:09:13,819",2333,0bb409fcb93eda9f4c480519d279d43c46a367c782e031bb57912740aa6021ee
93,Asking Millionaire Homeowners How They Got Rich,_5yi6XW4Av8,https://www.youtube.com/watch?v=_5yi6XW4Av8,"00:12:13,459",2890,f31de4060dca19ebc537074124ce5858d24b3a6c37dae4dbe4fb879a756511b0
94,Asking Orlando Millionaire’s How They Got RICH!,YU_58awAISY,https://www.youtube.com/watch?v=YU_58awAISY,"00:10:23,400",2895,e700a1cf7b68cb47078f085da2b93f0df06db067052c075fddbb2f48af0a72ae
95,Asking Beverly Hills Millionaires How They Got RICH!,xe3GmH-mBQI,https://www.youtube.com/watch?v=xe3GmH-mBQI,"00:13:13,360",3442,d5f27605a08612f940512d121fc49e0ef68766f8931e793e4aeb99da14014938
96,Asking A 27 Year Old How to Make $300 Million,V6I3R5Z-YZI,https://www.youtube.com/watch?v=V6I3R5Z-YZI,"00:20:52,458",4865,7201e66e771433d9a9f7718d73cce5d588279e22791636c9b50094fcde8e0250
97,Asking Supercar Owners How They Got RICH!,G2kqG3kDdGo,https://www.youtube.com/watch?v=G2kqG3kDdGo,"00:16:15,199",4385,fad18b24feaa013ef15aae900fb3e027d593ce2d059345162d2d12d9fc28730f
98,Asking Millionaires How They Got RICH! (Austin),pBjoezYFA0Y,https://www.youtube.com/watch?v=pBjoezYFA0Y,"00:14:16,680",3505,8d1941e3ccb5f3498e08355ade90243183dbd5ae359c51cb0edf5d82df8b0302
